ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,TRUE,FALSE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,FALSE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,FALSE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,TRUE,FALSE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,TRUE,FALSE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,TRUE,FALSE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,TRUE,TRUE
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,TRUE,FALSE
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,TRUE,FALSE
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_01727,Hochow Boarding School for Girls,https://data.chcdatabase.com/search?nodeSelect=N_01727,TRUE,FALSE
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,TRUE,TRUE
N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,N_01727,Hochow Boarding School for Girls,https://data.chcdatabase.com/search?nodeSelect=N_01727,TRUE,FALSE
N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,TRUE,TRUE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,TRUE,FALSE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,TRUE,TRUE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,TRUE,TRUE
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,TRUE,TRUE
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,TRUE,TRUE
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,TRUE,TRUE
